acc_no,strandedness
MH552507,ssDNA(+)
MH552509,ssDNA(+)
MH552510,ssDNA(+)
MH552512,ssDNA(+)
MH552514,dsDNA
MH552515,ssDNA(+)
MH552516,ssDNA(+)
MH552519,ssDNA(+)
MH552523,ssDNA(+)
MH552525,dsDNA
MH552526,dsDNA
MH552527,ssDNA(+)
MH552532,dsDNA
MH552537,ssDNA(+)
MH552540,ssDNA(+)
MH552544,ssDNA(+)
MH552548,ssDNA(+)
MH552550,ssDNA(+)
MH552551,ssDNA(+)
MH552552,ssDNA(+)
MH552553,ssDNA(+)
MH552556,ssDNA(+)
MH552557,ssDNA(+)
MH552560,ssDNA(+)
MH552567,ssDNA(+)
MH552569,ssDNA(+)
MH552571,ssDNA(+)
MH552573,ssDNA(+)
MH552576,ssDNA(+)
MH553517,dsDNA
MH553563,dsDNA
MH560358,dsDNA
MH571750,dsDNA
MH572269,ssDNA(+)
MH572270,ssDNA(+)
MH572271,ssDNA(+)
MH572272,ssDNA(+)
MH572273,ssDNA(+)
MH572274,ssDNA(+)
MH572275,ssDNA(+)
MH572276,ssDNA(+)
MH572277,ssDNA(+)
MH572278,ssDNA(+)
MH572279,ssDNA(+)
MH572280,ssDNA(+)
MH572281,ssDNA(+)
MH572282,ssDNA(+)
MH572283,ssDNA(+)
MH572284,ssDNA(+)
MH572285,ssDNA(+)
MH572286,ssDNA(+)
MH572287,ssDNA(+)
MH572288,ssDNA(+)
MH572289,ssDNA(+)
MH572290,ssDNA(+)
MH572291,ssDNA(+)
MH572292,ssDNA(+)
MH572293,ssDNA(+)
MH572294,ssDNA(+)
MH572295,ssDNA(+)
MH572296,ssDNA(+)
MH572297,ssDNA(+)
MH572298,ssDNA(+)
MH572299,ssDNA(+)
MH572300,ssDNA(+)
MH572301,ssDNA(+)
MH572302,ssDNA(+)
MH572303,ssDNA(+)
MH572304,ssDNA(+)
MH572305,ssDNA(+)
MH572306,ssDNA(+)
MH572307,ssDNA(+)
MH572308,ssDNA(+)
MH572309,ssDNA(+)
MH572310,ssDNA(+)
MH572311,ssDNA(+)
MH572312,ssDNA(+)
MH572313,ssDNA(+)
MH572314,ssDNA(+)
MH572315,ssDNA(+)
MH572316,ssDNA(+)
MH572317,ssDNA(+)
MH572318,ssDNA(+)
MH572319,ssDNA(+)
MH572320,ssDNA(+)
MH572321,ssDNA(+)
MH572322,ssDNA(+)
MH572323,ssDNA(+)
MH572324,ssDNA(+)
MH572325,ssDNA(+)
MH572326,ssDNA(+)
MH572327,ssDNA(+)
MH572328,ssDNA(+)
MH572329,ssDNA(+)
MH572330,ssDNA(+)
MH572331,ssDNA(+)
MH572332,ssDNA(+)
MH572333,ssDNA(+)
MH572334,ssDNA(+)
MH572335,ssDNA(+)
MH572336,ssDNA(+)
MH572337,ssDNA(+)
MH572338,ssDNA(+)
MH572339,ssDNA(+)
MH572340,ssDNA(+)
MH572341,ssDNA(+)
MH572342,ssDNA(+)
MH572343,ssDNA(+)
MH572344,ssDNA(+)
MH572345,ssDNA(+)
MH572346,ssDNA(+)
MH572347,ssDNA(+)
MH572348,ssDNA(+)
MH572349,ssDNA(+)
MH572350,ssDNA(+)
MH572351,ssDNA(+)
MH572352,ssDNA(+)
MH572353,ssDNA(+)
MH572354,ssDNA(+)
MH572355,ssDNA(+)
MH572356,ssDNA(+)
MH572357,ssDNA(+)
MH572358,ssDNA(+)
MH572359,ssDNA(+)
MH572360,ssDNA(+)
MH572361,ssDNA(+)
MH572362,ssDNA(+)
MH572363,ssDNA(+)
MH572364,ssDNA(+)
MH572365,ssDNA(+)
MH572366,ssDNA(+)
MH572367,ssDNA(+)
MH572368,ssDNA(+)
MH572369,ssDNA(+)
MH572370,ssDNA(+)
MH572371,ssDNA(+)
MH572372,ssDNA(+)
MH572373,ssDNA(+)
MH572374,ssDNA(+)
MH572375,ssDNA(+)
MH572376,ssDNA(+)
MH572377,ssDNA(+)
MH572378,ssDNA(+)
MH572379,ssDNA(+)
MH572380,ssDNA(+)
MH572381,ssDNA(+)
MH572382,ssDNA(+)
MH572383,ssDNA(+)
MH572384,ssDNA(+)
MH572385,ssDNA(+)
MH572386,ssDNA(+)
MH572387,ssDNA(+)
MH572388,ssDNA(+)
MH572389,ssDNA(+)
MH572390,ssDNA(+)
MH572391,ssDNA(+)
MH572392,ssDNA(+)
MH572393,ssDNA(+)
MH572394,ssDNA(+)
MH572395,ssDNA(+)
MH572396,ssDNA(+)
MH572397,ssDNA(+)
MH572398,ssDNA(+)
MH572399,ssDNA(+)
MH572400,ssDNA(+)
MH572401,ssDNA(+)
MH572402,ssDNA(+)
MH572403,ssDNA(+)
MH572404,ssDNA(+)
MH572405,ssDNA(+)
MH572406,ssDNA(+)
MH572407,ssDNA(+)
MH572408,ssDNA(+)
MH572409,ssDNA(+)
MH572410,ssDNA(+)
MH572411,ssDNA(+)
MH572412,ssDNA(+)
MH572413,ssDNA(+)
MH572414,ssDNA(+)
MH572415,ssDNA(+)
MH572416,ssDNA(+)
MH572417,ssDNA(+)
MH572418,ssDNA(+)
MH572419,ssDNA(+)
MH572420,ssDNA(+)
MH572421,ssDNA(+)
MH572422,ssDNA(+)
MH572423,ssDNA(+)
MH572424,ssDNA(+)
MH572425,ssDNA(+)
MH572426,ssDNA(+)
MH572427,ssDNA(+)
MH572428,ssDNA(+)
MH572430,ssDNA(+)
MH572431,ssDNA(+)
MH572432,ssDNA(+)
MH572433,ssDNA(+)
MH572434,ssDNA(+)
MH572435,ssDNA(+)
MH572436,ssDNA(+)
MH572437,ssDNA(+)
MH572438,ssDNA(+)
MH572439,ssDNA(+)
MH572440,ssDNA(+)
MH572441,ssDNA(+)
MH572442,ssDNA(+)
MH572443,ssDNA(+)
MH572444,ssDNA(+)
MH572445,ssDNA(+)
MH572446,ssDNA(+)
MH572447,ssDNA(+)
MH572448,ssDNA(+)
MH572449,ssDNA(+)
MH572450,ssDNA(+)
MH572451,ssDNA(+)
MH572452,ssDNA(+)
MH572453,ssDNA(+)
MH572454,ssDNA(+)
MH572455,ssDNA(+)
MH572456,ssDNA(+)
MH572457,ssDNA(+)
MH572458,ssDNA(+)
MH572459,ssDNA(+)
MH572460,ssDNA(+)
MH572461,ssDNA(+)
MH572462,ssDNA(+)
MH572463,ssDNA(+)
MH572464,ssDNA(+)
MH572465,ssDNA(+)
MH572466,ssDNA(+)
MH572467,ssDNA(+)
MH572468,ssDNA(+)
MH572469,ssDNA(+)
MH572470,ssDNA(+)
MH572471,ssDNA(+)
MH572472,ssDNA(+)
MH572473,ssDNA(+)
MH572474,ssDNA(+)
MH572475,ssDNA(+)
MH572476,ssDNA(+)
MH572477,ssDNA(+)
MH572478,ssDNA(+)
MH572479,ssDNA(+)
MH572480,ssDNA(+)
MH572481,ssDNA(+)
MH572482,ssDNA(+)
MH572483,ssDNA(+)
MH572484,ssDNA(+)
MH572485,ssDNA(+)
MH572486,ssDNA(+)
MH572487,ssDNA(+)
MH572488,ssDNA(+)
MH572489,ssDNA(+)
MH572490,ssDNA(+)
MH572491,ssDNA(+)
MH572492,ssDNA(+)
MH572493,ssDNA(+)
MH572494,ssDNA(+)
MH572495,ssDNA(+)
MH572496,ssDNA(+)
MH572497,ssDNA(+)
MH572498,ssDNA(+)
MH572499,ssDNA(+)
MH572500,ssDNA(+)
MH572501,ssDNA(+)
MH572502,ssDNA(+)
MH572503,ssDNA(+)
MH572504,ssDNA(+)
MH572505,ssDNA(+)
MH572506,ssDNA(+)
MH572507,ssDNA(+)
MH572508,ssDNA(+)
MH572509,ssDNA(+)
MH572510,ssDNA(+)
MH572511,ssDNA(+)
MH572512,ssDNA(+)
MH572513,ssDNA(+)
MH572514,ssDNA(+)
MH572515,ssDNA(+)
MH572516,ssDNA(+)
MH572517,ssDNA(+)
MH572518,ssDNA(+)
MH572519,ssDNA(+)
MH572520,ssDNA(+)
MH572521,ssDNA(+)
MH572522,ssDNA(+)
MH572523,ssDNA(+)
MH572524,ssDNA(+)
MH572525,ssDNA(+)
MH572526,ssDNA(+)
MH576948,dsDNA
MH576949,dsDNA
MH576950,dsDNA
MH576951,dsDNA
MH576952,dsDNA
MH576953,dsDNA
MH576954,dsDNA
MH576955,dsDNA
MH576956,dsDNA
MH576957,dsDNA
MH576958,dsDNA
MH576960,dsDNA
MH576961,dsDNA
MH576962,dsDNA
MH576964,dsDNA
MH576967,dsDNA
MH576969,dsDNA
MH576970,dsDNA
MH576972,dsDNA
MH576975,dsDNA
MH576976,dsDNA
MH576977,dsDNA
MH579717,dsDNA
MH586730,dsDNA
MH586731,dsDNA
MH590587,dsDNA
MH590588,dsDNA
MH590589,dsDNA
MH590590,dsDNA
MH590591,dsDNA
MH590592,dsDNA
MH590593,dsDNA
MH590594,dsDNA
MH590601,dsDNA
MH590604,dsDNA
MH590605,dsDNA
MH590606,dsDNA
MH593831,dsDNA
MH593832,unknown
MH593833,dsDNA
MH593834,dsDNA
MH593835,ssDNA(+)
MH593836,ssDNA(+)
MH593837,ssDNA(+)
MH595538,dsDNA
MH598798,dsDNA
MH598799,dsDNA
MH598800,dsDNA
MH598801,dsDNA
MH598802,dsDNA
MH598803,dsDNA
MH598804,dsDNA
MH598805,dsDNA
MH598806,dsDNA
MH598807,dsDNA
MH599087,dsDNA
MH616635,ssDNA(+)
MH616637,ssDNA(+)
MH616638,ssDNA(+)
MH616639,ssDNA(+)
MH616641,ssDNA(+)
MH616645,ssDNA(+)
MH616646,ssDNA(+)
MH616649,ssDNA(+)
MH616652,ssDNA(+)
MH616653,ssDNA(+)
MH616656,ssDNA(+)
MH616660,ssDNA(+)
MH616662,ssDNA(+)
MH616663,ssDNA(+)
MH616666,ssDNA(+)
MH616667,ssDNA(+)
MH616668,ssDNA(+)
MH616670,ssDNA(+)
MH616672,ssDNA(+)
MH616673,ssDNA(+)
MH616675,ssDNA(+)
MH616677,ssDNA(+)
MH616679,ssDNA(+)
MH616681,ssDNA(+)
MH616682,ssDNA(+)
MH616685,ssDNA(+)
MH616687,ssDNA(+)
MH616688,ssDNA(+)
MH616689,ssDNA(+)
MH616690,ssDNA(+)
MH616692,ssDNA(+)
MH616696,ssDNA(+)
MH616697,ssDNA(+)
MH616700,ssDNA(+)
MH616701,ssDNA(+)
MH616704,ssDNA(+)
MH616710,ssDNA(+)
MH616711,ssDNA(+)
MH616712,ssDNA(+)
MH616713,ssDNA(+)
MH616714,ssDNA(+)
MH616715,ssDNA(+)
MH616717,ssDNA(+)
MH616718,ssDNA(+)
MH616719,ssDNA(+)
MH616720,ssDNA(+)
MH616722,ssDNA(+)
MH616728,dsDNA
MH616729,ssDNA(+)
MH616730,ssDNA(+)
MH616731,ssDNA(+)
MH616734,ssDNA(+)
MH616735,ssDNA(+)
MH616737,ssDNA(+)
MH616740,ssDNA(+)
MH616744,ssDNA(+)
MH616746,ssDNA(+)
MH616748,ssDNA(+)
MH616750,ssDNA(+)
MH616751,ssDNA(+)
MH616755,ssDNA(+)
MH616763,ssDNA(+)
MH616764,ssDNA(+)
MH616765,ssDNA(+)
MH616766,ssDNA(+)
MH616768,ssDNA(+)
MH616773,ssDNA(+)
MH616775,ssDNA(+)
MH616776,ssDNA(+)
MH616777,ssDNA(+)
MH616778,ssDNA(+)
MH616779,ssDNA(+)
MH616780,ssDNA(+)
MH616782,ssDNA(+)
MH616783,ssDNA(+)
MH616786,ssDNA(+)
MH616787,dsDNA
MH616790,ssDNA(+)
MH616793,ssDNA(+)
MH616794,ssDNA(+)
MH616795,ssDNA(+)
MH616796,ssDNA(+)
MH616797,ssDNA(+)
MH616798,ssDNA(+)
MH616799,ssDNA(+)
MH616800,ssDNA(+)
MH616802,ssDNA(+)
MH616804,ssDNA(+)
MH616807,ssDNA(+)
MH616808,ssDNA(+)
MH616810,ssDNA(+)
MH616812,ssDNA(+)
MH616813,ssDNA(+)
MH616814,ssDNA(+)
MH616815,ssDNA(+)
MH616818,ssDNA(+)
MH616822,ssDNA(+)
MH616823,unknown
MH616826,ssDNA(+)
MH616833,ssDNA(+)
MH616835,ssDNA(+)
MH616836,ssDNA(+)
MH616837,ssDNA(+)
MH616838,ssDNA(+)
MH616843,ssDNA(+)
MH616844,ssDNA(+)
MH616845,ssDNA(+)
MH616846,ssDNA(+)
MH616848,unknown
MH616849,ssDNA(+)
MH616850,ssDNA(+)
MH616851,ssDNA(+)
MH616852,ssDNA(+)
MH616853,ssDNA(+)
MH616854,ssDNA(+)
MH616855,ssDNA(+)
MH616856,ssDNA(+)
MH616858,ssDNA(+)
MH616859,ssDNA(+)
MH616863,ssDNA(+)
MH616864,ssDNA(+)
MH616865,ssDNA(+)
MH616867,ssDNA(+)
MH616870,ssDNA(+)
MH616872,ssDNA(+)
MH616873,ssDNA(+)
MH616874,ssDNA(+)
MH616875,dsDNA
MH616876,ssDNA(+)
MH616878,ssDNA(+)
MH616882,ssDNA(+)
MH616883,ssDNA(+)
MH616886,ssDNA(+)
MH616888,ssDNA(+)
MH616889,ssDNA(+)
MH616890,ssDNA(+)
MH616891,ssDNA(+)
MH616893,ssDNA(+)
MH616895,ssDNA(+)
MH616896,ssDNA(+)
MH616899,ssDNA(+)
MH616900,ssDNA(+)
MH616902,ssDNA(+)
MH616904,ssDNA(+)
MH616910,ssDNA(+)
MH616911,ssDNA(+)
MH616912,ssDNA(+)
MH616914,ssDNA(+)
MH616919,ssDNA(+)
MH616922,ssDNA(+)
MH616924,ssDNA(+)
MH616926,ssDNA(+)
MH616928,ssDNA(+)
MH616929,ssDNA(+)
MH616931,ssDNA(+)
MH616932,ssDNA(+)
MH616933,ssDNA(+)
MH616934,ssDNA(+)
MH616935,unknown
MH616940,ssDNA(+)
MH616946,ssDNA(+)
MH616947,ssDNA(+)
MH616949,ssDNA(+)
MH616950,ssDNA(+)
MH616959,ssDNA(+)
MH616960,ssDNA(+)
MH616961,ssDNA(+)
MH616963,dsDNA
MH616969,ssDNA(+)
MH616970,ssDNA(+)
MH616974,ssDNA(+)
MH616975,ssDNA(+)
MH616976,ssDNA(+)
MH616977,ssDNA(+)
MH616978,ssDNA(+)
MH616980,ssDNA(+)
MH616982,ssDNA(+)
MH616983,ssDNA(+)
MH616985,ssDNA(+)
MH616989,ssDNA(+)
MH616991,ssDNA(+)
MH616994,ssDNA(+)
MH616995,ssDNA(+)
MH616997,ssDNA(+)
MH616998,ssDNA(+)
MH617000,ssDNA(+)
MH617008,ssDNA(+)
MH617010,ssDNA(+)
MH617011,ssDNA(+)
MH617012,ssDNA(+)
MH617013,ssDNA(+)
MH617016,unknown
MH617023,ssDNA(+)
MH617025,ssDNA(+)
MH617026,ssDNA(+)
MH617027,ssDNA(+)
MH617029,ssDNA(+)
MH617030,ssDNA(+)
MH617032,ssDNA(+)
MH617034,ssDNA(+)
MH617035,ssDNA(+)
MH617036,unknown
MH617037,ssDNA(+)
MH617039,ssDNA(+)
MH617040,ssDNA(+)
MH617043,ssDNA(+)
MH617044,ssDNA(+)
MH617045,ssDNA(+)
MH617047,ssDNA(+)
MH617049,ssDNA(+)
MH617052,ssDNA(+)
MH617057,ssDNA(+)
MH617058,ssDNA(+)
MH617060,ssDNA(+)
MH617063,ssDNA(+)
MH617064,ssDNA(+)
MH617066,ssDNA(+)
MH617069,ssDNA(+)
MH617071,ssDNA(+)
MH617072,ssDNA(+)
MH617073,ssDNA(+)
MH617074,ssDNA(+)
MH617076,ssDNA(+)
MH617077,ssDNA(+)
MH617078,ssDNA(+)
MH617083,ssDNA(+)
MH617084,ssDNA(+)
MH617085,ssDNA(+)
MH617086,ssDNA(+)
MH617087,ssDNA(+)
MH617088,ssDNA(+)
MH617089,ssDNA(+)
MH617090,ssDNA(+)
MH617093,ssDNA(+)
MH617094,ssDNA(+)
MH617096,ssDNA(+)
MH617098,ssDNA(+)
MH617099,ssDNA(+)
MH617100,ssDNA(+)
MH617102,ssDNA(+)
MH617103,ssDNA(+)
MH617105,ssDNA(+)
MH617106,ssDNA(+)
MH617107,ssDNA(+)
MH617108,ssDNA(+)
MH617110,ssDNA(+)
MH617113,ssDNA(+)
MH617115,dsDNA
MH617117,ssDNA(+)
MH617119,ssDNA(+)
MH617121,ssDNA(+)
MH617122,ssDNA(+)
MH617123,ssDNA(+)
MH617124,ssDNA(+)
MH617125,ssDNA(+)
MH617126,ssDNA(+)
MH617127,ssDNA(+)
MH617128,ssDNA(+)
MH617129,ssDNA(+)
MH617132,ssDNA(+)
MH617133,ssDNA(+)
MH617134,ssDNA(+)
MH617136,ssDNA(+)
MH617137,ssDNA(+)
MH617138,ssDNA(+)
MH617139,ssDNA(+)
MH617140,ssDNA(+)
MH617141,ssDNA(+)
MH617142,ssDNA(+)
MH617146,ssDNA(+)
MH617149,ssDNA(+)
MH617150,ssDNA(+)
MH617152,ssDNA(+)
MH617153,ssDNA(+)
MH617155,ssDNA(+)
MH617156,ssDNA(+)
MH617157,ssDNA(+)
MH617158,ssDNA(+)
MH617159,ssDNA(+)
MH617161,ssDNA(+)
MH617163,ssDNA(+)
MH617168,ssDNA(+)
MH617172,ssDNA(+)
MH617173,ssDNA(+)
MH617174,ssDNA(+)
MH617175,ssDNA(+)
MH617177,ssDNA(+)
MH617178,ssDNA(+)
MH617179,ssDNA(+)
MH617181,ssDNA(+)
MH617182,ssDNA(+)
MH617184,ssDNA(+)
MH617187,ssDNA(+)
MH617189,ssDNA(+)
MH617190,ssDNA(+)
MH617191,ssDNA(+)
MH617194,ssDNA(+)
MH617195,ssDNA(+)
MH617196,ssDNA(+)
MH617198,ssDNA(+)
MH617199,ssDNA(+)
MH617201,ssDNA(+)
MH617202,ssDNA(+)
MH617204,ssDNA(+)
MH617205,ssDNA(+)
MH617206,ssDNA(+)
MH617210,ssDNA(+)
MH617211,ssDNA(+)
MH617213,ssDNA(+)
MH617214,ssDNA(+)
MH617216,ssDNA(+)
MH617217,ssDNA(+)
MH617218,ssDNA(+)
MH617219,ssDNA(+)
MH617220,unknown
MH617222,ssDNA(+)
MH617223,ssDNA(+)
MH617224,ssDNA(+)
MH617225,ssDNA(+)
MH617227,ssDNA(+)
MH617234,ssDNA(+)
MH617235,ssDNA(+)
MH617237,ssDNA(+)
MH617239,ssDNA(+)
MH617241,ssDNA(+)
MH617247,ssDNA(+)
MH617249,ssDNA(+)
MH617250,ssDNA(+)
MH617254,ssDNA(+)
MH617257,ssDNA(+)
MH617259,unknown
MH617260,ssDNA(+)
MH617261,ssDNA(+)
MH617262,ssDNA(+)
MH617263,ssDNA(+)
MH617265,ssDNA(+)
MH617270,ssDNA(+)
MH617273,ssDNA(+)
MH617274,ssDNA(+)
MH617276,ssDNA(+)
MH617278,ssDNA(+)
MH617279,ssDNA(+)
MH617280,ssDNA(+)
MH617287,ssDNA(+)
MH617292,ssDNA(+)
MH617293,ssDNA(+)
MH617296,ssDNA(+)
MH617298,ssDNA(+)
MH617300,ssDNA(+)
MH617302,ssDNA(+)
MH617303,ssDNA(+)
MH617304,ssDNA(+)
MH617305,ssDNA(+)
MH617306,ssDNA(+)
MH617307,ssDNA(+)
MH617308,ssDNA(+)
MH617310,ssDNA(+)
MH617311,ssDNA(+)
MH617312,ssDNA(+)
MH617313,ssDNA(+)
MH617314,ssDNA(+)
MH617316,ssDNA(+)
MH617317,ssDNA(+)
MH617318,ssDNA(+)
MH617319,ssDNA(+)
MH617323,ssDNA(+)
MH617325,ssDNA(+)
MH617327,ssDNA(+)
MH617328,ssDNA(+)
MH617329,ssDNA(+)
MH617331,ssDNA(+)
MH617333,ssDNA(+)
MH617334,ssDNA(+)
MH617335,ssDNA(+)
MH617338,ssDNA(+)
MH617339,ssDNA(+)
MH617342,ssDNA(+)
MH617343,ssDNA(+)
MH617344,ssDNA(+)
MH617346,ssDNA(+)
MH617347,ssDNA(+)
MH617349,ssDNA(+)
MH617350,ssDNA(+)
MH617351,ssDNA(+)
MH617354,ssDNA(+)
MH617358,ssDNA(+)
MH617359,ssDNA(+)
MH617361,ssDNA(+)
MH617362,ssDNA(+)
MH617363,ssDNA(+)
MH617364,ssDNA(+)
MH617365,ssDNA(+)
MH617366,ssDNA(+)
MH617367,ssDNA(+)
MH617372,ssDNA(+)
MH617374,ssDNA(+)
MH617375,ssDNA(+)
MH617377,ssDNA(+)
MH617379,ssDNA(+)
MH617380,ssDNA(+)
MH617381,ssDNA(+)
MH617384,ssDNA(+)
MH617386,ssDNA(+)
MH617387,ssDNA(+)
MH617388,ssDNA(+)
MH617389,ssDNA(+)
MH617392,ssDNA(+)
MH617393,ssDNA(+)
MH617398,ssDNA(+)
MH617402,ssDNA(+)
MH617403,ssDNA(+)
MH617405,ssDNA(+)
MH617410,ssDNA(+)
MH617411,unknown
MH617412,ssDNA(+)
MH617413,ssDNA(+)
MH617416,ssDNA(+)
MH617417,ssDNA(+)
MH617418,ssDNA(+)
MH617420,ssDNA(+)
MH617421,ssDNA(+)
MH617422,ssDNA(+)
MH617424,ssDNA(+)
MH617429,ssDNA(+)
MH617430,ssDNA(+)
MH617432,ssDNA(+)
MH617433,ssDNA(+)
MH617436,ssDNA(+)
MH617438,ssDNA(+)
MH617439,ssDNA(+)
MH617440,ssDNA(+)
MH617442,ssDNA(+)
MH617443,ssDNA(+)
MH617444,ssDNA(+)
MH617445,ssDNA(+)
MH617448,ssDNA(+)
MH617451,dsDNA
MH617454,ssDNA(+)
MH617456,ssDNA(+)
MH617458,dsDNA
MH617459,ssDNA(+)
MH617464,ssDNA(+)
MH617467,ssDNA(+)
MH617468,ssDNA(+)
MH617471,ssDNA(+)
MH617473,ssDNA(+)
MH617477,ssDNA(+)
MH617478,ssDNA(+)
MH617482,ssDNA(+)
MH617486,dsDNA
MH617487,ssDNA(+)
MH617490,ssDNA(+)
MH617492,ssDNA(+)
MH617494,ssDNA(+)
MH617495,ssDNA(+)
MH617497,ssDNA(+)
MH617498,ssDNA(+)
MH617500,ssDNA(+)
MH617502,ssDNA(+)
MH617503,ssDNA(+)
MH617504,ssDNA(+)
MH617505,ssDNA(+)
MH617506,ssDNA(+)
MH617507,ssDNA(+)
MH617510,ssDNA(+)
MH617513,ssDNA(+)
MH617515,ssDNA(+)
MH617516,ssDNA(+)
MH617519,ssDNA(+)
MH617527,ssDNA(+)
MH617530,ssDNA(+)
MH617531,ssDNA(+)
MH617532,ssDNA(+)
MH617535,ssDNA(+)
MH617537,unknown
MH617539,ssDNA(+)
MH617540,ssDNA(+)
MH617543,ssDNA(+)
MH617546,ssDNA(+)
MH617550,ssDNA(+)
MH617555,ssDNA(+)
MH617559,ssDNA(+)
MH617560,ssDNA(+)
MH617561,ssDNA(+)
MH617564,ssDNA(+)
MH617567,ssDNA(+)
MH617568,ssDNA(+)
MH617570,ssDNA(+)
MH617571,ssDNA(+)
MH617573,ssDNA(+)
MH617574,ssDNA(+)
MH617576,ssDNA(+)
MH617580,ssDNA(+)
MH617584,ssDNA(+)
MH617587,ssDNA(+)
MH617588,ssDNA(+)
MH617589,ssDNA(+)
MH617591,ssDNA(+)
MH617592,ssDNA(+)
MH617596,ssDNA(+)
MH617597,ssDNA(+)
MH617600,ssDNA(+)
MH617601,ssDNA(+)
MH617602,ssDNA(+)
MH617603,ssDNA(+)
MH617606,ssDNA(+)
MH617607,ssDNA(+)
MH617608,ssDNA(+)
MH617611,ssDNA(+)
MH617613,ssDNA(+)
MH617614,ssDNA(+)
MH617617,ssDNA(+)
MH617618,ssDNA(+)
MH617622,ssDNA(+)
MH617623,ssDNA(+)
MH617627,ssDNA(+)
MH617629,ssDNA(+)
MH617634,ssDNA(+)
MH617635,ssDNA(+)
MH617638,ssDNA(+)
MH617640,ssDNA(+)
MH617641,ssDNA(+)
MH617643,unknown
MH617644,ssDNA(+)
MH617645,ssDNA(+)
MH617647,dsDNA
MH617650,ssDNA(+)
MH617651,ssDNA(+)
MH617652,ssDNA(+)
MH617653,ssDNA(+)
MH617654,dsDNA
MH617656,ssDNA(+)
MH617657,ssDNA(+)
MH617658,ssDNA(+)
MH617660,ssDNA(+)
MH617662,ssDNA(+)
MH617663,ssDNA(+)
MH617667,ssDNA(+)
MH617668,ssDNA(+)
MH617669,ssDNA(+)
MH617670,ssDNA(+)
MH617672,ssDNA(+)
MH617673,ssDNA(+)
MH617674,ssDNA(+)
MH617675,ssDNA(+)
MH617677,ssDNA(+)
MH617678,ssDNA(+)
MH617682,ssDNA(+)
MH617683,ssDNA(+)
MH617685,ssDNA(+)
MH617689,ssDNA(+)
MH617691,ssDNA(+)
MH617695,ssDNA(+)
MH617697,ssDNA(+)
MH617698,ssDNA(+)
MH617699,ssDNA(+)
MH617700,ssDNA(+)
MH617707,ssDNA(+)
MH617710,ssDNA(+)
MH617711,ssDNA(+)
MH617712,ssDNA(+)
MH617715,ssDNA(+)
MH617717,ssDNA(+)
MH617722,ssDNA(+)
MH617723,ssDNA(+)
MH617724,ssDNA(+)
MH617725,ssDNA(+)
MH617728,ssDNA(+)
MH617729,ssDNA(+)
MH617730,ssDNA(+)
MH617731,ssDNA(+)
MH617732,ssDNA(+)
MH617733,ssDNA(+)
MH617735,ssDNA(+)
MH617737,ssDNA(+)
MH617738,ssDNA(+)
MH617740,ssDNA(+)
MH617742,ssDNA(+)
MH617743,ssDNA(+)
MH617744,ssDNA(+)
MH617745,ssDNA(+)
MH617746,ssDNA(+)
MH617747,ssDNA(+)
MH617750,ssDNA(+)
MH617751,ssDNA(+)
MH617754,ssDNA(+)
MH617755,ssDNA(+)
MH617756,ssDNA(+)
MH617757,ssDNA(+)
MH617758,ssDNA(+)
MH617759,ssDNA(+)
MH617760,ssDNA(+)
MH617761,unknown
MH617765,ssDNA(+)
MH617768,ssDNA(+)
MH617769,dsDNA
MH618488,dsDNA
MH622905,ssDNA(+)
MH622906,ssDNA(+)
MH622907,ssDNA(+)
MH622909,ssDNA(+)
MH622910,dsDNA
MH622911,ssDNA(+)
MH622912,unknown
MH622913,ssDNA(+)
MH622914,ssDNA(+)
MH622915,ssDNA(+)
MH622916,ssDNA(+)
MH622917,ssDNA(+)
MH622918,ssDNA(+)
MH622919,dsDNA
MH622920,dsDNA
MH622922,ssDNA(+)
MH622925,ssDNA(+)
MH622927,dsDNA
MH622928,ssDNA(+)
MH622929,ssDNA(+)
MH622930,ssDNA(+)
MH622931,ssDNA(+)
MH622933,ssDNA(+)
MH622934,ssDNA(+)
MH622935,ssDNA(+)
MH622936,ssDNA(+)
MH622937,dsDNA
MH622938,ssDNA(+)
MH622939,dsDNA
MH622941,ssDNA(+)
MH622942,ssDNA(+)
MH622943,dsDNA
MH629685,dsDNA
MH632117,dsDNA
MH632118,dsDNA
MH633486,dsDNA
MH636380,dsDNA
MH638294,dsDNA
MH638310,dsDNA
MH638311,dsDNA
MH638312,dsDNA
MH643777,dsDNA
MH643778,dsDNA
MH648894,ssDNA(+)
MH648903,ssDNA(+)
MH648905,ssDNA(+)
MH648915,ssDNA(+)
MH648920,ssDNA(+)
MH648937,ssDNA(+)
MH648945,ssDNA(+)
MH648953,ssDNA(+)
MH648955,ssDNA(+)
MH648961,ssDNA(+)
MH648970,ssDNA(+)
MH648987,dsDNA
MH648988,ssDNA(+)
MH649001,ssDNA(+)
MH649004,ssDNA(+)
MH649005,ssDNA(+)
MH649012,dsDNA
MH649019,ssDNA(+)
MH649020,ssDNA(+)
MH649021,ssDNA(+)
MH649026,ssDNA(+)
MH649032,ssDNA(+)
MH649052,ssDNA(+)
MH649073,ssDNA(+)
MH649086,ssDNA(+)
MH649088,ssDNA(+)
MH649110,ssDNA(+)
MH649121,ssDNA(+)
MH649140,ssDNA(+)
MH649151,ssDNA(+)
MH649153,ssDNA(+)
MH649164,ssDNA(+)
MH649168,ssDNA(+)
MH649173,ssDNA(+)
MH649200,dsDNA
MH649243,dsDNA
MH649265,ssDNA(+)
MH651166,dsDNA
