acc_no,lifecycle,train_test
MG945738,Non-chronic,0
MG945739,Non-chronic,0
MG945740,Non-chronic,0
MG945741,Non-chronic,0
MG945742,Non-chronic,0
MG945743,Non-chronic,1
MG945744,Non-chronic,0
MG945745,Non-chronic,0
MG945746,Non-chronic,0
MG945747,Non-chronic,0
MG945748,Non-chronic,1
MG945749,Non-chronic,0
MG945750,Non-chronic,0
MG945751,Non-chronic,0
MG945752,Non-chronic,0
MG945753,Non-chronic,1
MG945754,Non-chronic,0
MG945755,Non-chronic,0
MG945756,Non-chronic,0
MG945757,Non-chronic,0
MG945758,Non-chronic,0
MG945759,Non-chronic,0
MG945760,Non-chronic,0
MG945761,Non-chronic,0
MG945762,Non-chronic,1
MG945763,Non-chronic,0
MG945764,Non-chronic,1
MG945765,Non-chronic,0
MG945766,Non-chronic,0
MG945767,Non-chronic,0
MG945768,Non-chronic,1
MG945769,Non-chronic,0
MG945770,Non-chronic,0
MG945771,Non-chronic,0
MG945772,Non-chronic,1
MG945773,Non-chronic,0
MG945774,Non-chronic,1
MG945775,Non-chronic,1
MG945776,Non-chronic,0
MG945777,Non-chronic,0
MG945778,Non-chronic,1
MG945779,Non-chronic,0
MG945780,Non-chronic,0
MG945781,Non-chronic,0
MG945782,Non-chronic,0
MG945783,Non-chronic,0
MG945784,Non-chronic,0
MG945785,Non-chronic,0
MG945786,Non-chronic,0
MG945787,Non-chronic,1
MG945788,Non-chronic,0
MG945789,Non-chronic,1
MG945790,Non-chronic,1
MG945791,Non-chronic,0
MG945792,Non-chronic,1
MG945793,Non-chronic,0
MG945794,Non-chronic,0
MG945795,Non-chronic,0
MG945796,Non-chronic,1
MG945797,Non-chronic,1
MG945798,Non-chronic,0
MG945799,Non-chronic,0
MG945800,Non-chronic,0
MG945801,Non-chronic,1
MG945802,Non-chronic,0
MG945803,Non-chronic,0
MG945804,Non-chronic,1
MG945805,Non-chronic,1
MG945806,Non-chronic,0
MG945807,Non-chronic,0
MG945808,Non-chronic,0
MG945809,Non-chronic,1
MG945810,Non-chronic,0
MG945811,Non-chronic,1
MG945812,Non-chronic,0
MG945813,Non-chronic,0
MG945814,Non-chronic,0
MG945815,Non-chronic,0
MG945816,Non-chronic,0
MG945817,Non-chronic,0
MG945818,Non-chronic,1
MG945819,Non-chronic,0
MG945820,Non-chronic,1
MG945821,Non-chronic,1
MG945822,Non-chronic,1
MG945823,Non-chronic,0
MG945824,Non-chronic,0
MG945825,Non-chronic,0
MG945826,Non-chronic,0
MG945827,Non-chronic,0
MG945828,Non-chronic,1
MG945829,Non-chronic,0
MG945830,Non-chronic,0
MG945831,Non-chronic,0
MG945832,Non-chronic,0
MG945833,Non-chronic,0
MG945834,Non-chronic,0
MG945835,Non-chronic,0
MG945836,Non-chronic,0
MG945837,Non-chronic,1
MG945838,Non-chronic,0
MG945839,Non-chronic,0
MG945840,Non-chronic,0
MG945841,Non-chronic,1
MG945842,Non-chronic,0
MG945843,Non-chronic,0
MG945844,Non-chronic,0
MG945845,Non-chronic,0
MG945846,Non-chronic,1
MG945847,Non-chronic,0
MG945848,Non-chronic,0
MG945849,Non-chronic,0
MG945850,Non-chronic,1
MG945851,Non-chronic,0
MG945852,Non-chronic,1
MG945853,Non-chronic,0
MG945854,Non-chronic,0
MG945855,Non-chronic,0
MG945856,Non-chronic,0
MG945857,Non-chronic,0
MG945858,Non-chronic,1
MG945859,Non-chronic,1
MG945860,Non-chronic,0
MG945861,Non-chronic,1
MG945862,Non-chronic,0
MG945863,Non-chronic,1
MG945864,Non-chronic,0
MG945865,Non-chronic,0
MG945866,Non-chronic,1
MG945867,Non-chronic,0
MG945868,Non-chronic,0
MG945869,Non-chronic,0
MG945870,Non-chronic,0
MG945909,Non-chronic,0
MH029513,Non-chronic,0
MH029514,Non-chronic,0
MH029515,Non-chronic,0
MH029516,Non-chronic,0
MH029517,Non-chronic,0
MH029518,Non-chronic,0
MH029519,Non-chronic,0
MH029520,Non-chronic,0
MH029521,Non-chronic,1
MH029522,Non-chronic,0
MH029523,Non-chronic,0
MH029524,Non-chronic,0
MH029525,Non-chronic,0
MH029526,Non-chronic,0
MH029527,Non-chronic,1
MH029528,Non-chronic,0
MH029529,Non-chronic,0
MH029530,Non-chronic,0
MH029531,Non-chronic,0
MH029532,Non-chronic,0
MH029533,Non-chronic,0
MH029535,Non-chronic,0
MH045557,Non-chronic,1
MH271296,Non-chronic,0
MH371118,Non-chronic,0
MH371124,Non-chronic,0
MH378441,Non-chronic,1
MH378442,Non-chronic,1
MH378443,Non-chronic,0
MH510269,Non-chronic,1
MH510271,Non-chronic,0
MH510273,Non-chronic,0
MH510277,Non-chronic,1
MH552479,Non-chronic,0
MH552480,Non-chronic,0
MH552483,Non-chronic,1
MH552487,Non-chronic,1
MH552492,Non-chronic,0
MH552496,Non-chronic,1
MH552497,Non-chronic,0
MH552498,Non-chronic,0
MH552504,Non-chronic,0
MH552507,Non-chronic,0
MH552509,Non-chronic,0
MH552510,Non-chronic,0
MH552512,Non-chronic,0
MH552515,Non-chronic,0
MH552516,Non-chronic,0
MH552523,Non-chronic,0
MH552540,Non-chronic,0
MH552544,Non-chronic,1
MH552548,Non-chronic,1
MH552550,Non-chronic,1
MH552552,Non-chronic,0
MH552553,Non-chronic,0
MH552556,Non-chronic,0
MH552557,Non-chronic,0
MH552560,Non-chronic,0
MH552567,Non-chronic,0
MH552569,Non-chronic,0
MH552571,Non-chronic,1
MH552573,Non-chronic,1
MH552576,Non-chronic,0
MH572269,Non-chronic,1
MH572270,Non-chronic,0
MH572271,Non-chronic,0
MH572272,Non-chronic,0
MH572273,Non-chronic,0
MH572274,Non-chronic,1
MH572275,Non-chronic,0
MH572276,Non-chronic,1
MH572277,Non-chronic,0
MH572278,Non-chronic,1
MH572279,Non-chronic,1
MH572280,Non-chronic,1
MH572281,Non-chronic,0
MH572282,Non-chronic,1
MH572283,Non-chronic,1
MH572284,Non-chronic,1
MH572285,Non-chronic,0
MH572286,Non-chronic,0
MH572287,Non-chronic,0
MH572288,Non-chronic,0
MH572289,Non-chronic,0
MH572290,Non-chronic,0
MH572291,Non-chronic,0
MH572292,Non-chronic,0
MH572293,Non-chronic,0
MH572294,Non-chronic,0
MH572295,Non-chronic,0
MH572296,Non-chronic,0
MH572297,Non-chronic,0
MH572298,Non-chronic,1
MH572299,Non-chronic,0
MH572300,Non-chronic,0
MH572301,Non-chronic,0
MH572302,Non-chronic,0
MH572303,Non-chronic,0
MH572304,Non-chronic,0
MH572305,Non-chronic,0
MH572306,Non-chronic,0
MH572307,Non-chronic,0
MH572308,Non-chronic,0
MH572309,Non-chronic,0
MH572310,Non-chronic,1
MH572311,Non-chronic,0
MH572312,Non-chronic,0
MH572313,Non-chronic,0
MH572314,Non-chronic,0
MH572315,Non-chronic,0
MH572316,Non-chronic,0
MH572317,Non-chronic,0
MH572318,Non-chronic,1
MH572319,Non-chronic,1
MH572320,Non-chronic,0
MH572321,Non-chronic,0
MH572322,Non-chronic,1
MH572323,Non-chronic,0
MH572324,Non-chronic,1
MH572325,Non-chronic,0
MH572326,Non-chronic,0
MH572327,Non-chronic,1
MH572328,Non-chronic,1
MH572329,Non-chronic,0
MH572330,Non-chronic,1
MH572331,Non-chronic,1
MH572332,Non-chronic,1
MH572333,Non-chronic,0
MH572334,Non-chronic,1
MH572335,Non-chronic,1
MH572336,Non-chronic,0
MH572337,Non-chronic,0
MH572338,Non-chronic,0
MH572339,Non-chronic,1
MH572340,Non-chronic,1
MH572341,Non-chronic,0
MH572342,Non-chronic,1
MH572343,Non-chronic,0
MH572344,Non-chronic,0
MH572345,Non-chronic,0
MH572346,Non-chronic,1
MH572347,Non-chronic,0
MH572348,Non-chronic,0
MH572349,Non-chronic,0
MH572350,Non-chronic,0
MH572351,Non-chronic,0
MH572352,Non-chronic,0
MH572353,Non-chronic,0
MH572354,Non-chronic,0
MH572355,Non-chronic,0
MH572356,Non-chronic,0
MH572357,Non-chronic,0
MH572358,Non-chronic,0
MH572359,Non-chronic,1
MH572360,Non-chronic,0
MH572362,Non-chronic,0
MH572363,Non-chronic,0
MH572364,Non-chronic,0
MH572365,Non-chronic,0
MH572366,Non-chronic,0
MH572367,Non-chronic,0
MH572368,Non-chronic,1
MH572369,Non-chronic,1
MH572370,Non-chronic,0
MH572371,Non-chronic,1
MH572372,Non-chronic,1
MH572373,Non-chronic,0
MH572374,Non-chronic,0
MH572375,Non-chronic,1
MH572376,Non-chronic,0
MH572377,Non-chronic,0
MH572378,Non-chronic,0
MH572379,Non-chronic,0
MH572380,Non-chronic,0
MH572381,Non-chronic,0
MH572382,Non-chronic,0
MH572383,Non-chronic,1
MH572384,Non-chronic,0
MH572385,Non-chronic,0
MH572386,Non-chronic,0
MH572387,Non-chronic,0
MH572388,Non-chronic,1
MH572389,Non-chronic,1
MH572390,Non-chronic,0
MH572391,Non-chronic,0
MH572392,Non-chronic,0
MH572393,Non-chronic,0
MH572394,Non-chronic,0
MH572395,Non-chronic,1
MH572396,Non-chronic,1
MH572397,Non-chronic,0
MH572398,Non-chronic,0
MH572399,Non-chronic,0
MH572400,Non-chronic,0
MH572401,Non-chronic,1
MH572402,Non-chronic,1
MH572403,Non-chronic,0
MH572404,Non-chronic,0
MH572405,Non-chronic,0
MH572406,Non-chronic,0
MH572407,Non-chronic,0
MH572408,Non-chronic,0
MH572409,Non-chronic,0
MH572410,Non-chronic,0
MH572411,Non-chronic,0
MH572412,Non-chronic,0
MH572413,Non-chronic,0
MH572414,Non-chronic,1
MH572415,Non-chronic,1
MH572416,Non-chronic,1
MH572417,Non-chronic,0
MH572418,Non-chronic,0
MH572419,Non-chronic,1
MH572420,Non-chronic,0
MH572421,Non-chronic,0
MH572422,Non-chronic,0
MH572423,Non-chronic,0
MH572424,Non-chronic,0
MH572425,Non-chronic,1
MH572426,Non-chronic,0
MH572427,Non-chronic,0
MH572428,Non-chronic,0
MH572430,Non-chronic,0
MH572431,Non-chronic,0
MH572432,Non-chronic,0
MH572433,Non-chronic,0
MH572434,Non-chronic,0
MH572435,Non-chronic,1
MH572436,Non-chronic,0
MH572437,Non-chronic,0
MH572438,Non-chronic,1
MH572439,Non-chronic,0
MH572440,Non-chronic,0
MH572441,Non-chronic,0
MH572442,Non-chronic,0
MH572443,Non-chronic,0
MH572444,Non-chronic,0
MH572445,Non-chronic,1
MH572446,Non-chronic,0
MH572447,Non-chronic,1
MH572448,Non-chronic,0
MH572449,Non-chronic,0
MH572450,Non-chronic,1
MH572451,Non-chronic,0
MH572452,Non-chronic,0
MH572453,Non-chronic,1
MH572454,Non-chronic,0
MH572455,Non-chronic,0
MH572456,Non-chronic,0
MH572457,Non-chronic,0
MH572458,Non-chronic,0
MH572459,Non-chronic,1
MH572460,Non-chronic,1
MH572461,Non-chronic,1
MH572462,Non-chronic,0
MH572463,Non-chronic,0
MH572464,Non-chronic,1
MH572465,Non-chronic,0
MH572466,Non-chronic,0
MH572467,Non-chronic,0
MH572468,Non-chronic,1
MH572469,Non-chronic,0
MH572470,Non-chronic,0
MH572471,Non-chronic,1
MH572472,Non-chronic,0
MH572473,Non-chronic,1
MH572474,Non-chronic,0
MH572475,Non-chronic,0
MH572476,Non-chronic,1
MH572477,Non-chronic,1
MH572478,Non-chronic,0
MH572479,Non-chronic,0
MH572480,Non-chronic,0
MH572481,Non-chronic,1
MH572482,Non-chronic,0
MH572483,Non-chronic,0
MH572484,Non-chronic,0
MH572485,Non-chronic,1
MH572486,Non-chronic,0
MH572487,Non-chronic,0
MH572488,Non-chronic,0
MH572489,Non-chronic,1
MH572490,Non-chronic,0
MH572491,Non-chronic,1
MH572492,Non-chronic,0
MH572493,Non-chronic,0
MH572494,Non-chronic,0
MH572495,Non-chronic,1
MH572496,Non-chronic,0
MH572497,Non-chronic,0
MH572498,Non-chronic,1
MH572499,Non-chronic,0
MH572500,Non-chronic,1
MH572501,Non-chronic,1
MH572502,Non-chronic,1
MH572503,Non-chronic,0
MH572504,Non-chronic,1
MH572505,Non-chronic,0
MH572506,Non-chronic,0
MH572507,Non-chronic,0
MH572508,Non-chronic,1
MH572509,Non-chronic,1
MH572510,Non-chronic,0
MH572511,Non-chronic,1
MH572512,Non-chronic,1
MH572513,Non-chronic,1
MH572514,Non-chronic,0
MH572515,Non-chronic,1
MH572516,Non-chronic,0
MH572517,Non-chronic,0
MH572518,Non-chronic,0
MH572519,Non-chronic,0
MH572520,Non-chronic,1
MH572521,Non-chronic,1
MH572522,Non-chronic,1
MH572523,Non-chronic,1
MH572524,Non-chronic,1
MH572525,Non-chronic,0
MH572526,Non-chronic,0
MH576948,Non-chronic,0
MH576950,Non-chronic,0
MH576951,Non-chronic,0
MH576952,Non-chronic,0
MH576955,Non-chronic,1
MH576957,Non-chronic,1
MH576961,Non-chronic,0
MH593835,Non-chronic,0
MH593837,Non-chronic,1
MH616635,Non-chronic,0
MH616637,Non-chronic,0
MH616638,Non-chronic,0
MH616639,Non-chronic,0
MH616645,Non-chronic,1
MH616646,Non-chronic,1
MH616649,Non-chronic,0
MH616652,Non-chronic,0
MH616653,Non-chronic,0
MH616656,Non-chronic,0
MH616660,Non-chronic,0
MH616662,Non-chronic,0
MH616663,Non-chronic,0
MH616666,Non-chronic,1
MH616667,Non-chronic,0
MH616668,Non-chronic,1
MH616670,Non-chronic,0
MH616672,Non-chronic,0
MH616673,Non-chronic,1
MH616677,Non-chronic,0
MH616679,Non-chronic,0
MH616681,Non-chronic,0
MH616682,Non-chronic,1
MH616685,Non-chronic,0
MH616687,Non-chronic,0
MH616688,Non-chronic,0
MH616689,Non-chronic,1
MH616690,Non-chronic,0
MH616692,Non-chronic,0
MH616696,Non-chronic,0
MH616697,Non-chronic,0
MH616700,Non-chronic,1
MH616701,Non-chronic,0
MH616704,Non-chronic,1
MH616710,Non-chronic,0
MH616712,Non-chronic,1
MH616713,Non-chronic,0
MH616714,Non-chronic,0
MH616715,Non-chronic,0
MH616717,Non-chronic,0
MH616718,Non-chronic,0
MH616720,Non-chronic,0
MH616722,Non-chronic,0
MH616729,Non-chronic,1
MH616731,Non-chronic,0
MH616734,Non-chronic,0
MH616735,Non-chronic,0
MH616737,Non-chronic,0
MH616740,Non-chronic,0
MH616744,Non-chronic,0
MH616746,Non-chronic,1
MH616748,Non-chronic,0
MH616750,Non-chronic,0
MH616751,Non-chronic,1
MH616755,Non-chronic,0
MH616763,Non-chronic,0
MH616766,Non-chronic,1
MH616768,Non-chronic,0
MH616773,Non-chronic,0
MH616775,Non-chronic,1
MH616776,Non-chronic,0
MH616777,Non-chronic,0
MH616778,Non-chronic,0
MH616779,Non-chronic,1
MH616780,Non-chronic,0
MH616782,Non-chronic,0
MH616783,Non-chronic,0
MH616786,Non-chronic,0
MH616787,Non-chronic,1
MH616790,Non-chronic,0
MH616793,Non-chronic,1
MH616794,Non-chronic,0
MH616795,Non-chronic,1
MH616796,Non-chronic,0
MH616797,Non-chronic,1
MH616798,Non-chronic,0
MH616799,Non-chronic,0
MH616800,Non-chronic,0
MH616802,Non-chronic,0
MH616804,Non-chronic,0
MH616807,Non-chronic,0
MH616808,Non-chronic,0
MH616810,Non-chronic,0
MH616812,Non-chronic,0
MH616813,Non-chronic,0
MH616814,Non-chronic,0
MH616822,Non-chronic,0
MH616823,Non-chronic,0
MH616826,Non-chronic,1
MH616833,Non-chronic,0
MH616835,Non-chronic,1
MH616836,Non-chronic,0
MH616837,Non-chronic,0
MH616844,Non-chronic,0
MH616845,Non-chronic,0
MH616846,Non-chronic,1
MH616848,Non-chronic,0
MH616849,Non-chronic,0
MH616850,Non-chronic,1
MH616851,Non-chronic,0
MH616852,Non-chronic,1
MH616853,Non-chronic,0
MH616854,Non-chronic,0
MH616855,Non-chronic,0
MH616856,Non-chronic,0
MH616858,Non-chronic,0
MH616859,Non-chronic,0
MH616863,Non-chronic,0
MH616864,Non-chronic,0
MH616865,Non-chronic,1
MH616867,Non-chronic,0
MH616870,Non-chronic,1
MH616873,Non-chronic,0
MH616874,Non-chronic,1
MH616875,Non-chronic,1
MH616876,Non-chronic,0
MH616878,Non-chronic,0
MH616882,Non-chronic,0
MH616886,Non-chronic,0
MH616888,Non-chronic,0
MH616889,Non-chronic,1
MH616890,Non-chronic,0
MH616891,Non-chronic,1
MH616893,Non-chronic,0
MH616895,Non-chronic,1
MH616896,Non-chronic,0
MH616899,Non-chronic,0
MH616900,Non-chronic,1
MH616902,Non-chronic,0
MH616904,Non-chronic,0
MH616910,Non-chronic,0
MH616911,Non-chronic,0
MH616912,Non-chronic,0
MH616919,Non-chronic,0
MH616922,Non-chronic,0
MH616924,Non-chronic,1
MH616926,Non-chronic,0
MH616928,Non-chronic,1
MH616929,Non-chronic,0
MH616931,Non-chronic,0
MH616932,Non-chronic,1
MH616933,Non-chronic,0
MH616934,Non-chronic,0
MH616935,Non-chronic,0
MH616940,Non-chronic,1
MH616946,Non-chronic,0
MH616947,Non-chronic,1
MH616949,Non-chronic,0
MH616950,Non-chronic,0
MH616959,Non-chronic,0
MH616960,Non-chronic,1
MH616961,Non-chronic,0
MH616969,Non-chronic,0
MH616970,Non-chronic,0
MH616974,Non-chronic,0
MH616975,Non-chronic,0
MH616976,Non-chronic,0
MH616977,Non-chronic,0
MH616978,Non-chronic,1
MH616980,Non-chronic,1
MH616982,Non-chronic,0
MH616983,Non-chronic,0
MH616985,Non-chronic,0
MH616989,Non-chronic,0
MH616991,Non-chronic,0
MH616994,Non-chronic,1
MH616995,Non-chronic,0
MH616997,Non-chronic,0
MH616998,Non-chronic,0
MH617000,Non-chronic,1
MH617008,Non-chronic,0
MH617010,Non-chronic,0
MH617012,Non-chronic,0
MH617013,Non-chronic,0
MH617016,Non-chronic,0
MH617023,Non-chronic,0
MH617025,Non-chronic,1
MH617026,Non-chronic,0
MH617027,Non-chronic,0
MH617029,Non-chronic,1
MH617030,Non-chronic,0
MH617032,Non-chronic,0
MH617034,Non-chronic,0
MH617035,Non-chronic,0
MH617036,Non-chronic,0
MH617037,Non-chronic,0
MH617039,Non-chronic,0
MH617043,Non-chronic,0
MH617044,Non-chronic,0
MH617045,Non-chronic,1
MH617047,Non-chronic,1
MH617049,Non-chronic,0
MH617052,Non-chronic,0
MH617057,Non-chronic,0
MH617058,Non-chronic,1
MH617063,Non-chronic,0
MH617064,Non-chronic,0
MH617066,Non-chronic,0
MH617069,Non-chronic,0
MH617071,Non-chronic,0
MH617073,Non-chronic,0
MH617074,Non-chronic,0
MH617076,Non-chronic,1
MH617077,Non-chronic,0
MH617078,Non-chronic,0
MH617083,Non-chronic,0
MH617084,Non-chronic,0
MH617085,Non-chronic,1
MH617086,Non-chronic,0
MH617087,Non-chronic,1
MH617088,Non-chronic,1
MH617089,Non-chronic,0
MH617093,Non-chronic,1
MH617094,Non-chronic,0
MH617096,Non-chronic,1
MH617098,Non-chronic,1
MH617099,Non-chronic,0
MH617100,Non-chronic,1
MH617102,Non-chronic,0
MH617103,Non-chronic,1
MH617105,Non-chronic,0
MH617107,Non-chronic,0
MH617108,Non-chronic,0
MH617110,Non-chronic,0
MH617113,Non-chronic,0
MH617121,Non-chronic,0
MH617122,Non-chronic,0
MH617123,Non-chronic,0
MH617124,Non-chronic,0
MH617125,Non-chronic,0
MH617126,Non-chronic,1
MH617127,Non-chronic,0
MH617128,Non-chronic,0
MH617129,Non-chronic,0
MH617132,Non-chronic,0
MH617133,Non-chronic,0
MH617134,Non-chronic,0
MH617136,Non-chronic,0
MH617137,Non-chronic,0
MH617138,Non-chronic,0
MH617139,Non-chronic,0
MH617140,Non-chronic,0
MH617141,Non-chronic,0
MH617142,Non-chronic,1
MH617146,Non-chronic,0
MH617149,Non-chronic,1
MH617150,Non-chronic,0
MH617152,Non-chronic,0
MH617153,Non-chronic,1
MH617155,Non-chronic,1
MH617156,Non-chronic,0
MH617157,Non-chronic,1
MH617158,Non-chronic,0
MH617159,Non-chronic,0
MH617161,Non-chronic,0
MH617163,Non-chronic,0
MH617168,Non-chronic,0
MH617173,Non-chronic,0
MH617174,Non-chronic,0
MH617175,Non-chronic,0
MH617177,Non-chronic,0
MH617178,Non-chronic,1
MH617179,Non-chronic,0
MH617181,Non-chronic,0
MH617182,Non-chronic,0
MH617184,Non-chronic,0
MH617187,Non-chronic,0
MH617189,Non-chronic,0
MH617191,Non-chronic,1
MH617194,Non-chronic,0
MH617195,Non-chronic,1
MH617196,Non-chronic,0
MH617198,Non-chronic,0
MH617199,Non-chronic,0
MH617201,Non-chronic,0
MH617202,Non-chronic,1
MH617204,Non-chronic,0
MH617205,Non-chronic,0
MH617206,Non-chronic,0
MH617210,Non-chronic,0
MH617211,Non-chronic,0
MH617213,Non-chronic,0
MH617214,Non-chronic,1
MH617216,Non-chronic,0
MH617217,Non-chronic,0
MH617218,Non-chronic,1
MH617220,Non-chronic,0
MH617222,Non-chronic,0
MH617223,Non-chronic,0
MH617225,Non-chronic,0
MH617227,Non-chronic,0
MH617234,Non-chronic,1
MH617235,Non-chronic,0
MH617237,Non-chronic,0
MH617239,Non-chronic,0
MH617241,Non-chronic,0
MH617247,Non-chronic,1
MH617249,Non-chronic,0
MH617250,Non-chronic,0
MH617254,Non-chronic,0
MH617257,Non-chronic,1
MH617259,Non-chronic,0
MH617260,Non-chronic,1
MH617261,Non-chronic,0
MH617263,Non-chronic,1
MH617265,Non-chronic,1
MH617270,Non-chronic,1
MH617273,Non-chronic,0
MH617274,Non-chronic,0
MH617276,Non-chronic,0
MH617278,Non-chronic,1
MH617279,Non-chronic,0
MH617287,Non-chronic,0
MH617293,Non-chronic,0
MH617296,Non-chronic,0
MH617300,Non-chronic,0
MH617302,Non-chronic,0
MH617303,Non-chronic,0
MH617304,Non-chronic,1
MH617305,Non-chronic,0
MH617307,Non-chronic,0
MH617308,Non-chronic,0
MH617310,Non-chronic,0
MH617311,Non-chronic,0
MH617312,Non-chronic,0
MH617313,Non-chronic,0
MH617314,Non-chronic,0
MH617316,Non-chronic,1
MH617317,Non-chronic,1
MH617318,Non-chronic,0
MH617319,Non-chronic,0
MH617323,Non-chronic,1
MH617325,Non-chronic,0
MH617327,Non-chronic,0
MH617328,Non-chronic,0
MH617329,Non-chronic,1
MH617331,Non-chronic,0
MH617333,Non-chronic,0
MH617334,Non-chronic,0
MH617335,Non-chronic,1
MH617338,Non-chronic,1
MH617339,Non-chronic,0
MH617342,Non-chronic,0
MH617344,Non-chronic,1
MH617346,Non-chronic,1
MH617347,Non-chronic,0
MH617349,Non-chronic,0
MH617350,Non-chronic,0
MH617351,Non-chronic,0
MH617354,Non-chronic,1
MH617358,Non-chronic,0
MH617359,Non-chronic,1
MH617361,Non-chronic,0
MH617364,Non-chronic,0
MH617365,Non-chronic,0
MH617366,Non-chronic,0
MH617367,Non-chronic,0
MH617372,Non-chronic,0
MH617374,Non-chronic,1
MH617375,Non-chronic,0
MH617377,Non-chronic,0
MH617379,Non-chronic,0
MH617380,Non-chronic,1
MH617381,Non-chronic,1
MH617384,Non-chronic,1
MH617386,Non-chronic,0
MH617387,Non-chronic,0
MH617388,Non-chronic,0
MH617389,Non-chronic,0
MH617392,Non-chronic,0
MH617393,Non-chronic,0
MH617398,Non-chronic,0
MH617402,Non-chronic,0
MH617403,Non-chronic,1
MH617405,Non-chronic,0
MH617410,Non-chronic,0
MH617411,Non-chronic,0
MH617412,Non-chronic,1
MH617413,Non-chronic,0
MH617416,Non-chronic,0
MH617417,Non-chronic,0
MH617418,Non-chronic,0
MH617420,Non-chronic,0
MH617421,Non-chronic,1
MH617422,Non-chronic,0
MH617424,Non-chronic,0
MH617429,Non-chronic,0
MH617430,Non-chronic,0
MH617432,Non-chronic,0
MH617433,Non-chronic,0
MH617436,Non-chronic,0
MH617438,Non-chronic,0
MH617439,Non-chronic,0
MH617440,Non-chronic,0
MH617442,Non-chronic,0
MH617443,Non-chronic,1
MH617444,Non-chronic,0
MH617448,Non-chronic,1
MH617454,Non-chronic,0
MH617456,Non-chronic,0
MH617459,Non-chronic,0
MH617468,Non-chronic,0
MH617471,Non-chronic,0
MH617473,Non-chronic,0
MH617477,Non-chronic,0
MH617478,Non-chronic,0
MH617487,Non-chronic,0
MH617490,Non-chronic,0
MH617494,Non-chronic,0
MH617495,Non-chronic,1
MH617497,Non-chronic,0
MH617498,Non-chronic,1
MH617500,Non-chronic,0
MH617502,Non-chronic,1
MH617503,Non-chronic,0
MH617504,Non-chronic,0
MH617505,Non-chronic,0
MH617506,Non-chronic,0
MH617510,Non-chronic,1
MH617513,Non-chronic,0
MH617515,Non-chronic,1
MH617516,Non-chronic,0
MH617519,Non-chronic,0
MH617527,Non-chronic,1
MH617530,Non-chronic,0
MH617531,Non-chronic,1
MH617532,Non-chronic,0
MH617535,Non-chronic,0
MH617537,Non-chronic,0
MH617540,Non-chronic,0
MH617543,Non-chronic,0
MH617546,Non-chronic,0
MH617550,Non-chronic,0
MH617555,Non-chronic,0
MH617559,Non-chronic,0
MH617560,Non-chronic,0
MH617561,Non-chronic,0
MH617567,Non-chronic,0
MH617568,Non-chronic,0
MH617570,Non-chronic,0
MH617571,Non-chronic,0
MH617573,Non-chronic,0
MH617574,Non-chronic,0
MH617576,Non-chronic,1
MH617580,Non-chronic,1
MH617584,Non-chronic,0
MH617587,Non-chronic,0
MH617588,Non-chronic,0
MH617589,Non-chronic,0
MH617591,Non-chronic,0
MH617592,Non-chronic,0
MH617596,Non-chronic,0
MH617597,Non-chronic,1
MH617600,Non-chronic,0
MH617601,Non-chronic,0
MH617602,Non-chronic,0
MH617603,Non-chronic,0
MH617606,Non-chronic,0
MH617607,Non-chronic,1
MH617608,Non-chronic,0
MH617611,Non-chronic,0
MH617613,Non-chronic,0
MH617614,Non-chronic,0
MH617623,Non-chronic,1
MH617627,Non-chronic,0
MH617629,Non-chronic,0
MH617634,Non-chronic,0
MH617635,Non-chronic,0
MH617638,Non-chronic,0
MH617640,Non-chronic,0
MH617641,Non-chronic,0
MH617643,Non-chronic,0
MH617644,Non-chronic,0
MH617647,Non-chronic,1
MH617651,Non-chronic,1
MH617652,Non-chronic,1
MH617653,Non-chronic,0
MH617656,Non-chronic,0
MH617657,Non-chronic,0
MH617658,Non-chronic,0
MH617660,Non-chronic,0
MH617662,Non-chronic,0
MH617663,Non-chronic,0
MH617667,Non-chronic,0
MH617668,Non-chronic,0
MH617669,Non-chronic,0
MH617670,Non-chronic,1
MH617672,Non-chronic,1
MH617674,Non-chronic,0
MH617677,Non-chronic,0
MH617678,Non-chronic,0
MH617682,Non-chronic,0
MH617683,Non-chronic,0
MH617685,Non-chronic,0
MH617689,Non-chronic,0
MH617691,Non-chronic,0
MH617695,Non-chronic,0
MH617697,Non-chronic,0
MH617698,Non-chronic,0
MH617699,Non-chronic,0
MH617700,Non-chronic,0
MH617707,Non-chronic,1
MH617710,Non-chronic,1
MH617711,Non-chronic,1
MH617712,Non-chronic,1
MH617715,Non-chronic,1
MH617722,Non-chronic,0
MH617723,Non-chronic,0
MH617724,Non-chronic,0
MH617725,Non-chronic,0
MH617728,Non-chronic,0
MH617729,Non-chronic,0
MH617730,Non-chronic,1
MH617731,Non-chronic,0
MH617732,Non-chronic,0
MH617733,Non-chronic,0
MH617735,Non-chronic,1
MH617737,Non-chronic,0
MH617738,Non-chronic,0
MH617740,Non-chronic,0
MH617743,Non-chronic,0
MH617744,Non-chronic,0
MH617745,Non-chronic,0
MH617746,Non-chronic,0
MH617747,Non-chronic,0
MH617750,Non-chronic,0
MH617751,Non-chronic,0
MH617754,Non-chronic,1
MH617755,Non-chronic,0
MH617756,Non-chronic,0
MH617757,Non-chronic,1
MH617758,Non-chronic,1
MH617759,Non-chronic,0
MH617760,Non-chronic,1
MH617761,Non-chronic,0
MH617765,Non-chronic,0
